protein	adipose tissue	adrenal gland	appendix	bone marrow	breast	bronchus	caudate	cerebellum	cerebral cortex	cervix	colon	duodenum	endometrium 1	endometrium 2	epididymis	esophagus	fallopian tube	gallbladder	heart muscle	hippocampus	kidney	liver	lung	lymph node	nasopharynx	oral mucosa	ovary	pancreas	parathyroid gland	placenta	prostate	rectum	salivary gland	seminal vesicle	skeletal muscle	skin 1	skin 2	small intestine	smooth muscle	soft tissue 1	soft tissue 2	spleen	stomach 1	stomach 2	testis	thyroid gland	tonsil	urinary bladder	vagina	nan	hypothalamus	endometrium	hair	retina	lactating breast	skin	thymus	cartilage	eye	pituitary gland	choroid plexus	dorsal raphe	substantia nigra	sole of foot	
TXNDC16	1	3	3	-100	2	2	3	3	1	2	2	3	3	3	3	2	3	3	2	3	3	2	3	3	2	3	2	3	3	3	3	3	3	2	1	2	3	3	2	-100	1	2	3	3	3	2	3	3	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
RTRAF	3	3	1	2	3	3	3	3	0	3	2	2	2	3	3	2	3	3	2	3	2	1	2	2	2	2	2	3	2	1	2	3	2	2	2	2	3	3	2	3	3	2	3	3	3	3	2	3	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
NID2	2	0	0	2	2	0	0	2	1	2	0	0	2	2	2	1	0	2	2	2	2	0	1	0	0	0	2	0	1	3	1	2	1	0	2	1	2	0	2	2	2	0	1	0	2	2	0	1	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
GMCL1	1	2	0	2	1	3	1	1	1	0	1	2	1	1	1	3	2	2	2	2	3	2	2	1	1	2	0	1	0	3	1	2	3	2	2	0	2	3	2	0	0	0	2	2	3	3	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SF3B2	2	3	3	3	3	3	3	3	0	3	2	3	3	3	3	3	3	3	3	2	3	2	3	3	3	3	2	3	2	3	3	3	3	2	2	3	3	3	2	2	2	2	3	3	3	3	3	3	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
KLHL42	2	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	-100	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
GNAS	0	2	0	1	2	1	1	1	3	1	3	3	0	1	1	2	1	3	1	0	2	1	1	0	1	1	0	1	0	2	1	2	0	1	0	0	2	3	0	0	0	0	2	2	1	1	2	1	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
DNM1L	2	2	0	2	2	-100	2	3	2	2	3	2	2	2	2	2	2	3	2	2	2	2	2	1	2	2	1	2	3	2	2	3	2	2	2	2	2	2	2	2	2	1	2	2	0	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
PTHLH	0	1	0	0	1	1	2	0	1	1	2	2	0	0	2	2	0	1	0	2	2	0	0	0	1	1	0	0	1	2	1	1	0	0	1	1	1	1	1	0	0	0	2	1	1	1	2	1	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ERGIC2	-100	1	0	2	0	0	2	3	0	1	2	3	2	1	2	1	0	2	0	2	2	2	0	2	0	1	0	1	1	1	1	3	3	1	1	0	1	3	1	0	0	0	2	2	0	1	1	2	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
TFAP2C	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	2	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
AURKA	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CASS4	-100	2	1	1	2	2	0	2	0	2	1	2	1	1	2	2	2	1	2	1	1	0	2	2	2	0	0	0	0	0	0	2	0	0	2	1	1	2	2	1	1	0	1	2	1	2	0	0	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
PIR	0	1	0	0	2	2	0	1	1	2	1	2	1	1	2	1	2	3	0	0	2	2	1	0	2	2	0	1	2	2	2	2	2	2	0	1	2	2	0	0	0	0	2	2	1	2	1	2	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
AAMDC	1	3	0	0	0	2	0	3	0	0	1	2	2	1	3	0	2	2	2	0	2	2	0	0	2	0	2	0	2	2	1	2	0	3	0	0	1	1	1	1	1	0	3	3	0	2	1	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
RFX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SULT2B1	0	0	0	0	0	2	1	0	0	3	0	0	2	0	3	3	1	0	0	1	1	0	0	0	3	3	0	0	0	2	2	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	3	0	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ALG6	0	3	2	1	0	0	0	0	1	1	1	3	2	2	2	0	3	2	0	0	3	3	2	1	0	0	0	1	2	2	1	3	2	2	0	0	0	3	1	0	0	2	3	2	3	1	0	1	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CNOT3	0	2	2	2	1	2	3	2	1	2	2	3	2	0	2	2	2	2	1	2	2	0	2	3	2	2	1	2	1	2	2	2	2	-100	0	1	2	2	1	1	0	2	2	2	2	2	2	2	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
GP6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
PTPN4	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
DDX18	1	2	1	2	0	2	2	2	2	2	1	1	0	1	1	2	2	2	2	2	2	1	2	1	0	2	0	0	1	2	0	1	1	1	0	1	2	1	0	1	0	0	2	3	0	2	0	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
KHSRP	3	3	2	3	3	2	3	2	0	2	3	3	3	2	3	3	3	3	1	1	3	2	2	2	3	2	2	2	3	3	2	3	2	3	2	2	3	3	2	3	3	1	3	3	3	3	3	3	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
GNA11	0	1	2	0	1	0	1	2	1	1	0	1	0	2	1	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	2	2	0	1	0	1	0	2	0	0	0	1	1	2	1	2	0	1	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ASAP3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	2	0	0	1	2	0	0	0	1	1	0	0	0	1	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
EDEM2	1	2	0	2	2	2	2	2	1	2	2	3	3	2	3	2	3	3	2	2	3	2	2	1	2	2	0	2	1	3	3	3	2	2	3	1	2	3	1	0	0	0	3	3	2	3	2	2	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
DNMT3B	1	1	1	1	1	2	1	1	2	2	2	2	2	1	2	0	2	2	0	1	2	0	2	2	2	2	1	2	1	3	1	2	1	-100	0	2	2	2	1	2	1	1	2	2	2	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
REM1	0	0	2	1	2	2	0	0	1	1	2	2	2	2	2	2	3	2	0	0	1	0	2	2	2	2	0	2	0	1	1	2	1	1	0	2	2	2	2	0	1	2	2	2	2	1	2	3	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
TPX2	0	3	0	3	2	2	2	2	0	2	0	2	2	1	2	2	2	1	0	2	1	1	2	0	2	2	0	2	2	2	0	2	0	1	1	3	2	1	1	0	2	0	3	3	0	2	-100	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
PDRG1	0	2	0	0	2	2	0	2	0	0	2	1	1	1	1	1	1	2	2	1	2	0	2	0	1	1	0	1	1	2	0	1	0	0	1	0	0	2	1	0	2	0	1	2	3	0	0	1	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
EPB41L1	0	2	0	0	1	3	2	0	3	0	1	1	0	2	0	3	2	3	0	2	3	0	1	0	3	2	0	3	0	2	0	2	2	2	0	1	2	1	0	0	0	0	2	3	1	0	2	3	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SLC15A1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
DOCK9	2	3	1	1	2	3	3	2	1	3	2	2	2	2	2	2	2	2	2	2	2	2	2	0	3	2	0	2	2	2	2	2	3	3	2	1	3	1	2	1	0	1	2	2	3	3	2	1	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ANKRD10	0	2	1	3	2	3	2	3	2	2	3	3	3	3	3	3	3	3	2	2	3	2	2	3	-100	3	1	2	3	2	2	3	2	3	2	2	2	3	1	2	2	2	3	3	2	3	3	3	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
TGDS	0	2	0	2	1	2	1	1	0	2	2	1	1	1	2	2	1	2	1	0	1	0	2	1	2	2	0	0	1	1	2	2	1	2	1	1	1	1	1	1	1	1	2	2	2	2	1	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
DOCK3	-100	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	2	1	2	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
C3orf18	0	3	1	2	2	2	0	0	0	0	0	2	0	2	2	1	2	2	0	0	2	1	2	3	2	1	0	1	2	1	1	2	2	2	2	0	2	2	0	0	0	1	2	2	0	2	1	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
COQ9	0	3	2	2	3	3	3	0	1	2	3	3	0	3	2	3	3	3	3	2	0	1	3	1	3	2	0	2	3	3	2	3	3	3	3	1	0	3	1	2	1	2	3	3	3	3	1	3	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
TMEM40	0	3	0	0	0	2	0	0	0	3	0	0	0	0	1	3	1	0	0	0	0	0	0	1	1	3	0	1	0	0	0	0	2	1	0	0	0	1	0	0	0	0	1	1	1	1	3	2	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
KIF9	2	3	1	2	2	2	1	2	1	1	2	2	1	2	2	1	2	2	2	1	2	2	2	2	2	1	1	1	3	2	2	2	1	1	1	2	1	2	1	1	1	1	2	2	2	1	2	2	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ARHGAP28	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
PPP1R13B	3	3	2	2	2	3	1	3	2	2	3	3	3	2	3	2	3	1	3	3	2	2	3	3	3	2	2	3	3	3	3	3	2	3	2	2	2	2	2	2	3	3	3	3	2	3	2	3	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ATRN	0	1	0	1	1	-100	0	0	0	1	2	2	1	2	2	1	1	2	0	1	2	1	2	0	1	2	0	1	1	1	1	1	0	1	0	0	2	1	0	0	0	0	1	1	1	2	2	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SMOX	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	1	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SIGLEC1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
FKBP1A	0	2	0	0	0	2	2	0	0	0	0	2	1	2	1	1	2	2	0	1	2	1	0	0	1	0	0	1	2	0	1	2	1	2	0	0	2	2	0	0	0	0	2	2	2	1	1	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
NSFL1C	0	2	1	1	2	2	1	2	1	3	1	2	2	2	2	3	2	2	1	1	3	2	0	2	2	2	2	0	2	2	3	2	2	2	0	2	3	2	2	-100	0	2	2	2	2	2	2	2	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SLC4A11	2	2	0	2	2	2	0	2	1	1	2	2	1	1	3	1	0	3	2	1	2	1	2	1	2	1	0	2	2	2	1	2	1	2	2	2	2	3	1	0	2	0	2	2	3	1	2	2	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
DNAAF9	0	0	0	0	0	0	1	2	2	0	0	0	0	0	1	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	2	2	0	1	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ZNF343	0	2	0	1	2	2	2	2	2	2	1	3	2	1	2	2	2	3	3	2	1	2	2	0	3	2	0	1	2	2	3	2	0	2	3	2	2	2	0	0	0	0	2	2	2	2	2	2	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
MAVS	2	3	3	3	0	3	1	1	1	3	1	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	-100	3	3	3	3	3	2	3	3	3	2	1	1	3	3	3	0	3	3	3	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
LZTS3	1	2	1	2	2	2	2	1	2	0	2	2	2	2	2	2	2	2	1	2	3	2	1	1	2	1	1	1	2	2	3	2	2	2	0	2	1	2	1	1	2	0	2	2	2	2	2	3	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
XRN2	0	3	2	3	3	-100	3	3	1	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
TESC	-100	2	0	2	0	2	1	0	1	1	0	0	1	1	2	2	1	3	0	1	3	2	0	0	2	2	0	2	2	2	2	0	3	3	2	0	0	2	0	0	0	0	3	3	3	1	1	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SNX5	0	2	2	1	0	2	1	1	1	1	1	1	2	2	2	2	2	2	0	1	2	0	1	2	-100	2	2	2	-100	1	1	2	3	2	0	0	2	2	0	0	1	1	2	0	2	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
RPL6	0	1	0	1	0	1	2	2	0	2	1	1	2	2	1	1	2	1	0	2	1	1	2	1	1	1	0	2	0	1	1	2	1	1	0	0	2	2	0	0	0	0	2	2	1	1	0	1	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
MAPKAPK5	0	3	2	3	1	2	1	3	1	1	0	2	2	2	2	2	2	2	2	2	2	0	0	1	2	2	0	1	3	3	2	3	2	1	1	1	3	2	1	0	0	2	3	2	2	2	1	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
P2RX7	0	2	0	1	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	3	1	2	0	2	2	0	0	0	2	2	2	1	2	0	2	2	2	0	0	1	0	2	2	1	2	1	2	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ESF1	1	3	2	2	3	3	3	3	0	3	2	3	3	3	3	3	3	3	2	3	3	2	2	3	3	3	2	3	3	2	3	3	2	3	2	0	0	3	2	2	2	2	3	3	3	2	3	3	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
RBBP9	0	2	0	0	0	0	2	2	1	0	2	2	2	1	2	2	0	2	2	2	2	2	2	1	0	0	0	1	2	1	2	2	2	2	2	0	0	2	0	0	0	2	2	2	1	2	1	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ANAPC5	3	3	2	2	3	3	3	3	1	2	2	2	2	2	3	2	3	3	3	3	3	3	1	1	3	3	3	2	3	3	2	3	3	2	2	2	3	2	3	3	3	2	3	3	0	3	3	3	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SLC23A2	0	1	2	0	0	2	0	0	0	1	2	2	2	0	1	2	2	2	2	0	2	0	0	0	2	-100	0	0	0	2	1	2	0	-100	1	0	-100	2	0	0	0	0	2	-100	2	1	2	2	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SLC8B1	0	0	2	1	0	0	0	0	0	0	2	2	0	0	1	1	1	1	0	1	2	0	0	2	0	1	0	0	0	2	0	2	1	1	0	2	1	2	0	0	0	1	2	2	2	0	2	0	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
TMEM230	2	3	2	2	2	3	2	2	0	3	2	3	2	3	2	3	2	3	1	2	2	1	2	1	3	3	2	2	3	3	2	3	2	2	2	2	3	3	2	1	-100	2	3	3	2	3	2	3	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
DZANK1	0	2	1	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	3	2	2	2	2	1	0	2	3	1	1	3	2	2	2	2	2	3	2	0	0	2	3	3	3	2	1	2	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CFAP61	0	1	0	0	0	0	1	0	0	0	0	0	0	0	-100	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
TASP1	0	2	1	0	0	2	0	0	0	0	0	1	0	1	2	0	2	2	0	0	2	0	0	2	2	0	0	0	-100	2	2	2	0	2	0	0	0	1	0	0	0	2	2	2	1	0	0	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
OAS1	3	3	2	3	3	3	3	3	2	2	2	3	3	3	3	3	3	3	2	3	3	3	3	2	3	2	2	3	3	3	2	3	2	3	2	2	2	3	1	2	2	2	3	3	3	3	2	3	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
GCN1	1	2	2	2	2	2	2	2	2	2	2	3	2	2	3	2	2	3	2	2	3	2	2	2	2	2	1	2	2	3	2	3	2	2	2	2	2	3	1	1	1	2	3	3	3	2	2	3	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
RPLP0	0	3	0	2	1	3	3	3	2	2	1	3	2	2	2	2	3	2	2	3	3	3	1	2	-100	1	1	2	3	3	2	3	2	2	0	1	2	3	1	0	0	1	2	3	3	2	2	2	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
PXN	0	2	3	3	3	2	3	0	2	1	1	1	2	1	3	1	3	2	0	3	3	0	0	3	3	1	2	2	3	2	2	2	1	3	0	0	0	1	1	1	1	0	0	0	3	2	3	3	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SIRT4	1	1	0	1	2	1	2	2	1	0	2	1	1	1	2	1	1	2	2	1	2	2	1	0	2	2	0	1	1	3	1	2	1	1	2	0	0	1	2	0	0	0	2	2	0	1	0	1	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
RPH3A	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
KIF16B	0	3	3	2	2	3	2	2	2	2	2	3	2	3	2	2	3	3	3	2	3	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	3	3	2	0	0	2	3	2	2	2	2	3	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
TRMT6	1	3	2	1	2	2	2	3	1	2	2	2	2	2	2	3	2	2	2	2	1	0	2	2	2	2	1	2	2	2	2	2	2	3	2	2	3	2	2	2	2	2	2	2	3	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CHGB	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	3	-100	-100	-100	-100	
PEBP1	0	3	0	0	1	0	2	2	1	0	1	2	1	1	2	0	2	2	2	2	0	3	2	0	0	0	2	2	3	0	2	1	2	1	1	0	0	2	0	0	0	1	1	1	0	3	0	1	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
TBX5	1	3	0	2	1	2	0	0	0	0	0	0	1	0	2	2	1	2	3	0	0	0	0	1	0	1	0	1	0	2	0	1	2	1	0	1	1	0	0	1	0	0	2	0	1	2	1	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
BRAP	0	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	3	2	1	1	2	2	2	3	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ERP29	2	2	3	3	2	3	3	3	2	2	2	2	3	3	3	2	3	3	2	3	0	3	3	3	2	2	0	2	2	3	3	3	3	3	1	0	0	3	2	1	1	3	3	3	2	3	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
NOS1	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
FUS	3	3	3	3	3	3	3	3	1	3	3	3	3	3	3	3	3	3	3	3	3	2	2	3	3	3	3	3	3	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
IGBP1	0	2	3	2	1	2	2	2	1	1	2	3	2	2	2	2	3	2	0	1	2	1	1	3	3	2	1	2	2	2	2	2	2	2	1	2	2	3	1	1	1	2	3	3	0	2	3	2	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
FXYD5	1	2	2	3	3	3	1	2	2	2	2	2	2	3	2	3	3	2	1	0	1	0	2	3	3	3	1	3	2	3	1	3	1	2	2	3	3	1	2	3	2	3	3	3	1	2	3	3	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
GRAMD1A	0	0	0	0	0	0	0	0	1	0	2	2	1	1	0	0	0	2	0	0	2	1	0	0	0	0	0	0	2	0	1	2	2	2	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
FXYD3	1	1	0	0	-100	2	1	1	1	1	0	2	2	2	1	2	2	2	0	1	1	0	2	1	1	1	0	1	1	2	3	1	2	2	0	0	0	2	1	1	1	0	3	3	2	1	3	2	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
HEPH	1	1	0	1	0	2	1	1	0	0	0	2	2	2	2	1	2	2	1	2	1	2	2	2	2	0	0	1	-100	2	2	2	1	2	2	0	0	2	1	0	-100	1	2	2	2	2	2	1	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CDIP1	1	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	0	1	1	-100	2	2	2	2	2	1	2	2	1	2	1	2	2	2	0	2	0	2	2	3	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CMTM1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
GANAB	0	2	1	2	1	0	2	0	0	0	1	3	2	2	3	2	2	2	0	3	2	2	2	3	0	2	0	1	0	3	2	3	2	2	0	0	0	3	1	2	1	2	2	2	2	3	2	3	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
