protein	adipose tissue	adrenal gland	appendix	bone marrow	breast	bronchus	caudate	cerebellum	cerebral cortex	cervix	colon	duodenum	endometrium 1	endometrium 2	epididymis	esophagus	fallopian tube	gallbladder	heart muscle	hippocampus	kidney	liver	lung	lymph node	nasopharynx	oral mucosa	ovary	pancreas	parathyroid gland	placenta	prostate	rectum	salivary gland	seminal vesicle	skeletal muscle	skin 1	skin 2	small intestine	smooth muscle	soft tissue 1	soft tissue 2	spleen	stomach 1	stomach 2	testis	thyroid gland	tonsil	urinary bladder	vagina	nan	hypothalamus	endometrium	hair	retina	lactating breast	skin	thymus	cartilage	eye	pituitary gland	choroid plexus	dorsal raphe	substantia nigra	sole of foot	
MAGEA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
PAPSS2	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	2	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	3	-100	-100	-100	-100	-100	-100	
SLC9A6	0	2	0	1	2	2	3	3	2	2	2	2	1	2	2	2	1	2	2	2	2	1	2	1	2	2	0	2	0	2	1	2	1	0	0	1	2	2	1	1	2	0	1	1	1	2	1	1	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ABCA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
EIF1AY	2	3	3	3	2	-100	2	2	0	3	2	2	3	2	2	3	3	3	1	2	1	2	3	2	3	2	3	1	3	3	3	3	3	1	0	3	-100	2	0	2	2	3	3	3	1	2	3	3	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CEP290	0	3	0	1	3	2	0	0	0	2	2	3	2	2	1	2	2	1	0	0	3	0	2	2	2	2	0	0	1	3	3	2	1	2	0	0	2	2	1	0	0	1	3	3	2	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
MT-CO2	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	3	2	3	3	3	2	3	3	2	3	3	3	3	3	0	0	3	2	1	2	3	3	3	3	3	3	3	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
GLMP	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	3	0	0	0	1	0	0	1	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
TOGARAM1	0	2	2	1	0	-100	0	0	2	0	1	2	2	1	2	0	0	2	2	1	2	1	0	0	-100	0	0	1	0	0	0	3	0	0	2	0	0	2	2	0	0	0	0	0	2	3	0	1	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ANKRD13B	1	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	2	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ECI2	0	3	0	0	0	0	1	0	1	0	1	2	2	2	3	0	2	3	2	0	0	3	1	0	0	0	0	1	2	0	2	1	1	2	1	0	0	0	0	1	1	0	3	3	3	1	0	1	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
UNC13B	0	2	0	1	1	2	0	0	2	0	3	2	2	2	2	2	1	2	0	0	2	2	2	1	2	0	0	1	1	2	1	2	0	2	0	0	1	2	0	3	2	0	2	2	1	3	1	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
MT-CYB	1	2	0	0	1	2	2	2	1	1	1	2	2	1	0	2	1	2	2	2	2	2	0	1	2	1	0	2	3	2	2	2	2	2	2	1	2	2	2	1	1	2	2	2	2	2	1	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
LDB1	0	2	1	3	2	0	2	3	1	2	2	2	0	2	2	2	1	2	2	2	2	0	2	1	2	2	2	2	2	3	2	2	0	0	2	2	2	2	2	1	1	0	3	3	2	1	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
PPP1R14C	1	0	0	0	2	2	0	0	2	1	2	2	2	2	1	1	2	0	3	0	2	0	2	0	2	1	0	0	0	2	1	2	3	0	3	0	2	2	2	2	0	0	1	1	0	1	1	0	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CTR9	2	2	2	3	2	3	2	2	0	2	2	2	1	2	2	2	2	2	0	2	2	0	2	2	2	2	1	2	0	2	0	2	2	0	1	2	2	2	2	2	2	2	2	2	2	2	3	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SMOC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
MSRB1	0	2	0	3	0	1	0	0	0	0	0	3	0	1	0	0	0	1	2	0	3	3	0	2	-100	0	0	0	0	3	0	3	1	0	2	0	0	3	2	0	0	2	2	2	1	2	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ZNF652	1	2	0	0	0	0	1	0	0	0	0	1	2	2	2	0	0	1	1	0	0	0	1	0	1	0	2	0	1	1	2	0	1	0	0	2	1	2	0	2	0	0	0	0	2	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SMURF1	0	0	0	2	0	2	2	0	0	3	2	2	2	1	2	2	3	3	0	2	2	0	3	0	2	0	0	0	1	3	2	2	2	2	0	0	0	2	0	0	0	0	3	3	0	1	1	3	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
GPATCH3	0	2	0	3	2	0	0	1	2	2	2	2	0	1	0	2	0	1	2	0	0	2	1	1	2	2	0	0	0	2	0	1	1	0	2	2	2	2	2	2	2	0	1	0	0	0	0	1	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CDC42BPB	0	1	1	1	2	0	1	2	2	2	2	2	2	2	2	2	2	3	1	1	2	1	2	2	2	2	2	2	1	2	2	2	2	2	0	1	2	2	0	0	0	0	2	2	2	2	2	2	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
PLXNB3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
OXCT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
RPL10A	0	2	0	1	2	2	2	3	0	2	0	2	2	2	2	3	3	2	2	2	2	2	2	1	2	3	0	1	0	2	1	3	2	2	3	2	3	3	1	0	0	0	3	3	2	2	3	3	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
